genome_id	group	marker_id	start	end	orientation	length	duplication
target_genome_3.fasta	target	shared_marker5	1784671	1789671	-	5000	True
target_genome_3.fasta	target	shared_marker5	2246735	2251735	-	5000	True
target_genome_4.fasta	target	unique_marker1	1781711	1781911	+	200	False
target_genome_4.fasta	target	unique_marker2	283106	283606	-	500	True
target_genome_4.fasta	target	unique_marker2	905506	906006	-	500	True
target_genome_4.fasta	target	unique_marker3	1606211	1607211	-	1000	True
target_genome_4.fasta	target	unique_marker3	4859036	4860036	-	1000	True
target_genome_4.fasta	target	unique_marker4	3233167	3235167	-	2000	False
target_genome_4.fasta	target	unique_marker5	702541	707541	+	5000	True
target_genome_4.fasta	target	unique_marker5	2021160	2026160	+	5000	True
target_genome_4.fasta	target	shared_marker1	4637262	4637462	-	200	False
target_genome_4.fasta	target	shared_marker2	4267505	4268005	-	500	False
target_genome_4.fasta	target	shared_marker3	1628264	1629264	+	1000	False
target_genome_4.fasta	target	shared_marker4	509429	511429	-	2000	False
target_genome_4.fasta	target	shared_marker5	1735507	1740507	-	5000	True
target_genome_4.fasta	target	shared_marker5	595181	600181	-	5000	True
target_genome_5.fasta	target	unique_marker1	618070	618270	-	200	True
target_genome_5.fasta	target	unique_marker1	4329047	4329247	-	200	True
target_genome_5.fasta	target	unique_marker2	2016963	2017463	+	500	True
target_genome_5.fasta	target	unique_marker2	1309341	1309841	+	500	True
target_genome_5.fasta	target	unique_marker3	3411759	3412759	+	1000	False
target_genome_5.fasta	target	unique_marker4	4069959	4071959	+	2000	False
target_genome_5.fasta	target	unique_marker5	1672771	1677771	+	5000	False
target_genome_5.fasta	target	shared_marker1	1185832	1186032	-	200	False
target_genome_5.fasta	target	shared_marker2	672371	672871	+	500	True
target_genome_5.fasta	target	shared_marker2	2300671	2301171	+	500	True
target_genome_5.fasta	target	shared_marker3	2334081	2335081	-	1000	False
target_genome_5.fasta	target	shared_marker4	2418708	2420708	-	2000	False
target_genome_5.fasta	target	shared_marker5	81712	86712	-	5000	False
non_target_genome_1.fasta	non_target	shared_marker1	4196471	4196671	-	200	False
non_target_genome_1.fasta	non_target	shared_marker2	4611067	4611567	+	500	False
non_target_genome_1.fasta	non_target	shared_marker3	3987889	3988889	+	1000	False
non_target_genome_1.fasta	non_target	shared_marker4	4338601	4340601	+	2000	False
non_target_genome_1.fasta	non_target	shared_marker5	3294659	3299659	-	5000	True
non_target_genome_1.fasta	non_target	shared_marker5	1717825	1722825	-	5000	True
non_target_genome_2.fasta	non_target	shared_marker1	359434	359634	-	200	False
non_target_genome_2.fasta	non_target	shared_marker2	355027	355527	-	500	False
non_target_genome_2.fasta	non_target	shared_marker3	3818547	3819547	-	1000	False
non_target_genome_2.fasta	non_target	shared_marker4	2570028	2572028	+	2000	True
non_target_genome_2.fasta	non_target	shared_marker4	1999143	2001143	+	2000	True
non_target_genome_2.fasta	non_target	shared_marker5	3440275	3445275	+	5000	False
non_target_genome_3.fasta	non_target	shared_marker1	1799673	1799873	-	200	False
non_target_genome_3.fasta	non_target	shared_marker2	1077247	1077747	-	500	False
non_target_genome_3.fasta	non_target	shared_marker3	2875493	2876493	-	1000	False
non_target_genome_3.fasta	non_target	shared_marker4	1035171	1037171	+	2000	True
non_target_genome_3.fasta	non_target	shared_marker4	4630544	4632544	+	2000	True
non_target_genome_3.fasta	non_target	shared_marker5	2984336	2989336	+	5000	False
non_target_genome_4.fasta	non_target	shared_marker1	1158389	1158589	-	200	False
non_target_genome_4.fasta	non_target	shared_marker2	4110197	4110697	+	500	False
non_target_genome_4.fasta	non_target	shared_marker3	527158	528158	+	1000	True
non_target_genome_4.fasta	non_target	shared_marker3	3622712	3623712	+	1000	True
non_target_genome_4.fasta	non_target	shared_marker4	783836	785836	+	2000	False
non_target_genome_4.fasta	non_target	shared_marker5	683642	688642	+	5000	True
non_target_genome_4.fasta	non_target	shared_marker5	1368274	1373274	+	5000	True
non_target_genome_5.fasta	non_target	shared_marker1	2247486	2247686	+	200	False
non_target_genome_5.fasta	non_target	shared_marker2	4827459	4827959	+	500	False
non_target_genome_5.fasta	non_target	shared_marker3	2165484	2166484	-	1000	False
non_target_genome_5.fasta	non_target	shared_marker4	4968182	4970182	+	2000	False
non_target_genome_5.fasta	non_target	shared_marker5	667039	672039	+	5000	False
